Gene ,Group ,Regulation
BMP4,D1 2 mM Mg,5.645823827
BMP4,D1 4 mM Mg,3.481125813
BMP4,D1 8 mM Mg,-3.288640984
Col1a1,D1 2 mM Mg,3.545605212
Col1a1,D1 4 mM Mg,1.58813895
Col1a1,D1 8 mM Mg,-2.465791046
IL8,D1 2 mM Mg,4.784283599
IL8,D1 4 mM Mg,2.957932715
IL8,D1 8 mM Mg,-1.01074643
MMP13,D1 2 mM Mg,3.10402253
MMP13,D1 4 mM Mg,3.281414472
MMP13,D1 8 mM Mg,-6.272859312
PDGFaa,D1 2 mM Mg,5.187000818
PDGFaa,D1 4 mM Mg,2.865123149
PDGFaa,D1 8 mM Mg,-1.644232927
TIMP1,D1 2 mM Mg,4.862377309
TIMP1,D1 4 mM Mg,3.841786757
TIMP1,D1 8 mM Mg,-1.085970151
BMP4,D4 2 mM Mg,-2.077421967
BMP4,D4 4 mM Mg,-1.299464176
BMP4,D4 8 mM Mg,-1.32486298
Col1a1,D4 2 mM Mg,-1.067578185
Col1a1,D4 4 mM Mg,-5.035225916
Col1a1,D4 8 mM Mg,-1.577397124
EPAS1,D4 2 mM Mg,-1.683035374
EPAS1,D4 4 mM Mg,-1.246494389
EPAS1,D4 8 mM Mg,-2.09403497
IL8,D4 2 mM Mg,1.618843964
IL8,D4 4 mM Mg,-4.820049446
IL8,D4 8 mM Mg,-1.30464271
MMP13,D4 2 mM Mg,-1.628835243
MMP13,D4 4 mM Mg,1.477382601
MMP13,D4 8 mM Mg,-2.143350788
OPG,D4 2 mM Mg,-1.141519172
OPG,D4 4 mM Mg,-1.221693081
OPG,D4 8 mM Mg,-1.038908862
PDGFaa,D4 2 mM Mg,-1.169134297
PDGFaa,D4 4 mM Mg,-1.220541924
PDGFaa,D4 8 mM Mg,1.1160379
TIMP1,D4 2 mM Mg,-1.160799919
TIMP1,D4 4 mM Mg,-4.436785417
TIMP1,D4 8 mM Mg,-1.522120534
BMP4,D7 2 mM Mg,-1.095375957
BMP4,D7 4 mM Mg,-3.319150193
BMP4,D7 8 mM Mg,-7.810114776
CCL2,D7 2 mM Mg,-1.174726838
CCL2,D7 4 mM Mg,-1.644155165
CCL2,D7 8 mM Mg,-5.589327398
Col1a1,D7 2 mM Mg,-1.036571671
Col1a1,D7 4 mM Mg,-1.443252711
Col1a1,D7 8 mM Mg,-6.526083985
EPAS1,D7 2 mM Mg,-1.580454812
EPAS1,D7 4 mM Mg,-4.438638385
EPAS1,D7 8 mM Mg,-12.46028752
IL8,D7 2 mM Mg,1.983710328
IL8,D7 4 mM Mg,1.191751512
IL8,D7 8 mM Mg,-4.06501462
MMP13,D7 2 mM Mg,-1.86544043
MMP13,D7 4 mM Mg,-1.799363119
MMP13,D7 8 mM Mg,-7.407790493
OPG,D7 2 mM Mg,-1.239950997
OPG,D7 4 mM Mg,-1.349666988
OPG,D7 8 mM Mg,-14.01331929
PDGFaa,D7 2 mM Mg,-1.295727287
PDGFaa,D7 4 mM Mg,-1.940535164
PDGFaa,D7 8 mM Mg,-5.51601246
TIMP1,D7 2 mM Mg,1.259392014
TIMP1,D7 4 mM Mg,-1.392485234
TIMP1,D7 8 mM Mg,-4.942291825
